FID,Eastings,Northings,LST,NDVI,NDMI
339,610061.3921,1337061.221,33.8019981,0.11814,-0.119044
340,610092.3334,1337291.705,33.5247002,0.0705326,-0.150318
341,621113.8291,1345128.639,32.9634018,0.199813,-0.138653
342,610170.84,1336755.203,34.1604996,0.118886,-0.130124
343,621250.9725,1344934.119,34.8521996,0.213784,-0.129997
344,609809.4066,1337237.386,33.8396988,0.0503428,-0.164147
345,620681.966,1345376.144,34.8744011,0.130515,-0.185086
346,610160.7118,1336935.942,33.4958992,0.0051009,-0.0968421
347,620710.6279,1345034.869,35.1839981,0.160267,-0.195205
348,610260.4232,1336856.467,34.2930984,0.0848383,-0.118721
349,610046.7124,1337488.687,33.987999,0.112687,-0.137157
350,609813.5488,1336651.002,33.5778999,0.240816,-0.0264622
351,610144.539,1335694.05,32.6217995,0.150176,-0.125999
352,610099.2452,1336261.342,33.6265984,0.134482,-0.0838132
353,610396.969,1336882.809,33.5624008,0.180455,-0.0148048
354,622109.5675,1348411.71,33.1483994,0.157567,-0.13066
355,609716.9312,1336004.194,32.7196007,0.294743,0.0179839
356,621862.6286,1348582.518,33.1930008,0.204313,-0.117182
357,609627.0718,1335671.272,33.3200989,0.16136,-0.0933674
358,622023.2166,1348182.675,30.9754009,0.25367,-0.125377
359,610675.0757,1336886.276,33.4379997,0.114231,-0.093062
360,621727.0423,1348796.512,31.6107998,0.17288,-0.122798
361,610541.0736,1336927.608,33.2867012,0.253563,-0.0655058
362,610800.4131,1336572.517,32.7649994,0.116423,-0.0594816
363,610738.1769,1336711.811,32.4695015,0.215138,-0.0197965
364,621564.9814,1348596.584,34.4715996,0.101732,-0.103976
365,621771.7057,1348235.475,34.2509003,0.14834,-0.17031
366,609984.2764,1336466.875,34.0477982,0.10673,-0.1627
367,610766.757,1337444.932,27.2092991,0.460061,0.216806
368,621387.3543,1348416.615,37.1641006,0.115033,-0.172871
369,611175.5103,1336263.681,30.4508991,0.26223,-0.0658839
370,622013.1606,1348695.185,29.3582001,0.129232,-0.20811
371,621546.9198,1348212.251,35.6325989,0.222222,-0.138194
372,610831.0469,1337283.75,28.6016998,0.355263,0.104794
373,621457.2852,1348779.629,33.4976997,0.206791,-0.0957597
374,611045.9815,1336732.145,29.5566006,0.494182,0.251665
375,610968.5711,1337078.952,29.6352997,0.338229,0.0155473
376,610869.7464,1337171.887,30.2000008,0.354982,-0.0147368
377,611238.6804,1336105.618,29.4029999,0.497498,0.191242
