FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
239,647196.3584,1397900.733,79,26.8167,0.148044,-0.0462896
240,646983.8867,1398416.914,44,27.0907993,0.157251,-0.0642061
241,648075.4078,1398402.745,33,25.5480995,0.236036,-0.0528305
242,647817.8264,1398200.092,33,23.066,0.442567,0.161975
243,647978.4362,1398588.96,91,25.3631001,0.189228,-0.0582697
244,648158.9138,1398480.175,80,25.7021008,0.307438,0.0010255
245,647729.2262,1398024.667,28,21.5279007,0.611922,0.359346
246,647664.998,1397935.868,50,21.7851009,0.52598,0.26867
247,647849.9286,1398140.517,39,21.8855,0.465129,0.227654
248,647770.7487,1398094.985,48,21.6898003,0.368669,0.20181
249,647982.6697,1399325.293,87,21.8637009,0.414553,0.265421
250,647980.8463,1399114.676,51,23.0491009,0.389966,0.0893582
251,647991.7655,1399838.969,61,22.1716995,0.2227,0.336676
252,647931.3804,1399670.524,40,22.4372997,0.2687,0.217353
253,647885.3795,1398699.867,88,22.9375992,0.416747,0.20441
254,647898.0765,1398596.347,92,24.7152996,0.529952,0.178225
255,647832.1335,1398958.538,59,25.0445004,0.162587,-0.0192833
256,647802.9305,1398744.145,51,23.5107002,0.489111,0.246125
257,647720.8453,1400210.897,78,24.5741997,0.542634,0.18199
258,647579.5556,1400059.045,71,25.0109997,0.33033,0.0185371
259,647537.4496,1400376.07,89,25.5930004,0.423337,0.0336134
260,647550.6005,1400299.481,95,25.3509998,0.360544,0.0798837
261,647998.2856,1400061.49,59,22.8603001,0.177944,0.283972
262,647947.4575,1399907.613,25,22.7266006,0.242645,0.181706
263,647737.994,1399999.047,16,23.9078999,0.406176,0.121309
264,647906.6656,1400118.404,55,23.8743992,0.374796,-0.0300676
265,659964.9548,1411956.783,89,28.2621002,0.289416,-0.0323006
266,647918.5494,1399574.579,67,23.0998993,0.312827,0.109028
267,660219.5701,1411950.903,91,28.1369991,0.139776,-0.128691
268,659936.4654,1411902.162,57,27.3292999,0.20676,-0.09154
269,648267.0636,1399117.488,25,22.8262005,0.26657,0.0643291
270,648013.081,1398948.286,77,23.2066002,0.0744849,0.0094919
271,647681.1187,1399190.899,57,24.6222,0.283345,0.0264588
272,647680.782,1399043.831,55,25.1205006,0.242559,0.0121642
273,659945.8218,1411772.515,68,26.7322998,0.204311,-0.0942249
274,660039.932,1411705.898,41,24.4360008,-0.0298314,-0.092233
275,659699.2356,1411774.718,58,29.4705009,0.141624,-0.134315
276,659905.0981,1412134.944,25,29.3395996,0.199109,-0.111062
277,659918.4434,1411826.918,64,27.1189003,0.27491,-0.0676321
278,659824.1076,1411882.385,71,27.9211006,0.239458,-0.0443999
279,659930.2393,1411614.394,35,24.2180004,0.0026954,-0.0041642
280,659940.8556,1411756.628,57,26.7322998,0.255027,-0.0937294
281,667130.737,1409884.104,80,25.6714001,0.254663,-0.0035865
282,666852.2209,1410056.546,75,25.4958,0.196599,-0.0239251
283,667624.6866,1409890.372,85,26.0259991,0.115264,-0.0370245
284,667415.1078,1409910.48,75,25.5695,0.250274,0.0010537
285,666333.5593,1410203.445,71,24.9776993,0.408649,0.0774949
286,666362.357,1410254.274,70,25.2751007,0.348263,0.122887
287,666773.7241,1409970.077,82,25.3202,0.511661,0.0927232
288,666353.8301,1410165.231,75,25.6784992,0.148825,-0.0525095
289,667087.3,1410103.661,90,26.1345997,0.171558,-0.0365099
290,667317.0031,1410321.24,75,26.2196007,0.168904,-0.0051603
291,667874.0346,1410115.613,85,24.9776993,0.258831,0.0431619
292,667044.0707,1410113.053,85,26.0898991,0.143119,-0.0473282
293,667463.5947,1410097.969,85,25.4060001,0.0763175,0.0256303
294,667575.0596,1410053.733,71,25.8157005,0.167891,-0.106788
295,667279.0161,1410172.522,75,25.4580002,0.338296,0.0328758
296,667278.9199,1410078.991,82,25.5671005,0.169094,-0.0918334
297,608335.3742,1342931.686,6,24.6007004,0.285068,-0.021677
298,608209.4611,1343028.606,9,25.8204002,0.254345,-0.0545253
299,613131.252,1341084.094,70,23.7320995,0.564619,0.208204
300,613663.5288,1341090.451,45,24.8990002,0.228159,-0.0807181
301,613024.0627,1341787.197,55,22.5976009,0.479098,0.197047
302,613626.8289,1341587.238,95,23.8262005,0.390684,0.0172084
303,613366.4786,1340648.244,35,24.2870998,0.371201,0.0343083
304,618591.8784,1336032.13,15,24.6054993,0.341624,-0.0504816
305,618570.2797,1336418.394,45,24.1096992,0.508429,0.0774838
306,617894.7833,1334934.834,36,23.8071003,0.373569,-0.0048393
307,606991.5392,1348158.058,10,27.2940998,0.244562,-0.0841027
308,607130.8952,1348080.479,7,26.7789001,0.452878,0.0957009
309,607004.4616,1348230.157,13,27.1492004,0.486468,0.0969614
310,607060.4438,1347771.728,12,26.5345001,0.416918,0.0078797
311,607013.4874,1348049.666,18,26.9174004,0.40202,0.0658156
312,607160.6114,1348051.145,6,26.3299999,0.451802,0.0901532
313,606993.5435,1347958.506,9,26.1672993,0.44036,0.023909
314,606681.5561,1348128.734,10,25.1891003,0.626214,0.244967
315,606527.4541,1348848.606,9,28.0160999,0.302748,-0.020415
316,606733.18,1349137.66,20,28.3127995,0.485136,0.0197471
317,606677.3083,1349179.404,15,27.4477997,0.475456,0.110599
318,606913.1436,1347753.443,12,27.2071991,0.283512,-0.0073151
319,606575.4678,1349457.002,9,27.5065002,0.261291,-0.0110715
320,606637.1448,1349441.189,9,27.4297009,0.314375,-0.004663
321,607804.7442,1343212.752,6,26.6403999,0.317083,-0.0684741
322,607956.1082,1342990.76,9,25.7942009,0.424259,0.0404852
323,606930.9217,1349266.89,12,26.4333992,0.448059,0.133121
324,606741.6267,1349417.106,7,26.7224998,0.369306,0.0592764
325,622111.1336,1342702.347,8,25.0489998,0.522434,0.169076
326,621754.4639,1342794.588,6,27.0835991,0.457433,0.017398
327,597675.8391,1339630.651,8,28.6805992,0.388619,-0.0122945
328,621069.0677,1345404.821,1,25.1035995,0.416065,0.088859
329,621910.9444,1343437.718,17,24.5576992,0.260961,0.0195261
330,620824.1828,1345273.765,3,25.8649998,0.49652,0.0906324
331,622068.274,1342931.235,4,24.3759995,0.398389,-0.0456698
332,598653.3565,1340266.996,5,28.1714001,0.348391,-0.0603148
333,622341.7283,1342689.415,12,24.3495007,0.284857,-0.0145184
334,598859.9312,1340105.685,6,28.1133995,0.318694,-0.0206301
335,621706.0563,1342981.842,2,26.2378998,0.525969,0.124032
336,598900.3543,1339676.892,5,27.6133995,0.383178,0.0351259
337,620946.4689,1344710.693,4,26.5979004,0.56485,0.151604
338,620667.882,1344817.936,7,27.3150005,0.461578,0.0227355
339,610061.3921,1337061.221,45,27.4951,0.282925,-0.0270951
340,610092.3334,1337291.705,45,27.1469002,0.11396,-0.126982
341,621113.8291,1345128.639,6,24.8628006,0.550331,0.149237
342,610170.84,1336755.203,89,26.9923992,0.279382,-0.0568125
343,621250.9725,1344934.119,5,25.7488003,0.567341,0.157732
344,609809.4066,1337237.386,35,26.0447998,0.296802,0.0034648
345,620681.966,1345376.144,19,26.3512001,0.362663,-0.0510618
346,610160.7118,1336935.942,56,27.5487995,0.150127,-0.0721861
347,620710.6279,1345034.869,4,26.4923,0.378394,-0.0222668
348,610260.4232,1336856.467,50,27.4622002,0.202844,-0.0511742
349,610046.7124,1337488.687,75,26.4948006,0.272961,-0.0453814
350,609813.5488,1336651.002,85,26.7392006,0.268478,0.0068528
351,610144.539,1335694.05,53,25.7945004,0.177162,-0.0468438
352,610099.2452,1336261.342,85,26.3087997,0.385085,0.0370612
353,610396.969,1336882.809,126,28.3087006,0.155612,-0.0014695
354,622109.5675,1348411.71,14,27.7975998,0.28203,-0.0679878
355,609716.9312,1336004.194,52,25.4764996,0.465993,0.113689
356,621862.6286,1348582.518,11,27.3384991,0.267522,-0.0569189
357,609627.0718,1335671.272,65,25.7777004,0.321987,0.0544446
358,622023.2166,1348182.675,13,27.6091003,0.286608,-0.0657689
359,610675.0757,1336886.276,45,26.8519993,0.142231,-0.0910359
360,621727.0423,1348796.512,6,26.1133003,0.197485,-0.120945
361,610541.0736,1336927.608,69,27.5580006,0.144109,-0.0539453
362,610800.4131,1336572.517,85,26.9176006,0.257598,-0.0180791
363,610738.1769,1336711.811,65,26.948,0.175569,-0.0001917
364,621564.9814,1348596.584,13,26.7486,0.220553,-0.0674451
365,621771.7057,1348235.475,5,27.6462994,0.314425,-0.0506799
366,609984.2764,1336466.875,98,26.3584003,0.313604,0.0310978
367,610766.757,1337444.932,46,22.7922001,0.418692,0.305619
368,621387.3543,1348416.615,4,26.9032001,0.45142,0.0320638
369,611175.5103,1336263.681,65,23.2542992,0.434438,0.115182
370,622013.1606,1348695.185,16,25.2542,0.0977444,0.0558192
371,621546.9198,1348212.251,3,26.8936996,0.330351,-0.0015108
372,610831.0469,1337283.75,258,22.6415005,0.567212,0.244961
373,621457.2852,1348779.629,3,25.7677994,0.542652,0.167661
374,611045.9815,1336732.145,215,23.2982998,0.234707,0.1207
375,610968.5711,1337078.952,189,22.1763992,0.225926,0.0974801
376,610869.7464,1337171.887,45,23.0566006,0.318425,0.131046
377,611238.6804,1336105.618,69,22.7049999,0.175551,0.149409
378,611147.9551,1336395.962,45,23.2882996,0.53075,0.243824
379,611404.8376,1335892.231,25,21.9372005,0.501005,0.261583
380,617789.5757,1335190.833,26,24.5028,0.326805,-0.0447656
381,617797.016,1335070.18,19,24.5769997,0.185256,-0.102573
382,617913.3367,1335368.475,20,24.3495007,0.425849,0.0361228
383,619173.5628,1339366.154,5,25.0585003,0.414345,0.0272423
384,619376.7835,1339677.07,5,26.3160992,0.209406,-0.0652588
385,606494.8116,1364033.271,25,23.9848995,0.127903,0.0457992
386,606517.3901,1363959.136,30,23.2933998,0.395142,0.244493
387,597125.1607,1341594.096,4,28.3936996,0.436537,0.0480797
388,609139.6288,1361302.63,50,23.5492992,0.326765,0.182721
389,620760.8765,1358842.975,65,25.2583008,0.381364,-0.0185694
390,620563.6495,1358807.931,27,24.5767002,0.338943,-0.026881
391,621194.0716,1359017.222,50,26.4712009,0.32819,-0.0346513
392,620978.7019,1358971.826,60,24.6889992,0.403705,-0.0042787
393,625059.5583,1363425.674,12,23.9654999,0.374297,0.0530504
394,625282.0475,1363386.865,15,24.9419003,0.296466,0.020288
395,624970.3115,1363901.902,20,25.0921001,0.245739,-0.0056796
396,630328.0306,1364382.041,18,29.0014992,0.208241,-0.129682
397,630483.3561,1364472.702,20,29.9148998,0.184646,-0.0156348
398,630493.1273,1364206.14,16,28.2688999,0.275718,-0.015163
399,630348.123,1364246.914,9,28.1714993,0.345102,-0.022607
400,630370.783,1364496.678,40,29.3258991,0.210015,-0.0260223
401,630169.4137,1364436.94,20,27.5926991,0.277822,-0.0509415
402,622010.9011,1362771.82,6,26.3110008,0.288385,0.0237369
403,622133.9732,1362954.747,9,26.5088997,0.224764,-0.102943
404,622013.0516,1362259.72,8,25.1345005,0.454771,0.0106169
405,630717.1104,1364313.899,15,27.9719009,0.298254,-0.0534428
406,630744.9396,1364112.862,25,28.9715004,0.25455,-0.0814565
407,630192.0641,1364504.361,12,27.7418003,0.436497,0.0580885
408,630570.1674,1364641.289,15,28.7525997,0.244584,-0.0376024
409,621370.0307,1362995.403,4,25.6686993,0.411017,-0.0121626
410,621637.0029,1363087.832,5,25.8936005,0.393516,0.0164259
411,632396.9267,1363577.618,20,30.4284,0.219566,-0.110978
412,621329.2578,1362754.489,8,25.6592007,0.41117,-0.0142756
413,621524.9147,1362322.411,4,24.4025993,0.31213,0.0121088
414,621748.4759,1362221.563,5,25.3768997,0.52329,0.0950226
